From	To
AKD1A_HUMAN	ANKDD1A
AKD1B_HUMAN	ANKDD1B
AKIB1_HUMAN	ANKIB1
AKIP1_HUMAN	AKIP1
AKIP_HUMAN	AURKAIP1
AKIR1_HUMAN	AKIRIN1
AKIR2_HUMAN	AKIRIN2
AKNA_HUMAN	AKNA
AKND1_HUMAN	AKNAD1
AKP13_HUMAN	AKAP13
AKP8L_HUMAN	AKAP8L
AKT1_HUMAN	AKT1
AKT2_HUMAN	AKT2
AKT3_HUMAN	AKT3
AKTIP_HUMAN	AKTIP
AKTS1_HUMAN	AKT1S1
AL14E_HUMAN	ARL14EP
AL1A1_HUMAN	ALDH1A1
AL1A2_HUMAN	ALDH1A2
AL1A3_HUMAN	ALDH1A3
AL1B1_HUMAN	ALDH1B1
AL1L1_HUMAN	ALDH1L1
AL1L2_HUMAN	ALDH1L2
AL2CL_HUMAN	ALS2CL
AL2SA_HUMAN	ALS2CR11
AL2SB_HUMAN	ALS2CR12
AL3A1_HUMAN	ALDH3A1
AL3A2_HUMAN	ALDH3A2
AL3B1_HUMAN	ALDH3B1
AL3B2_HUMAN	ALDH3B2
AL4A1_HUMAN	ALDH4A1
AL5AP_HUMAN	ALOX5AP
AL7A1_HUMAN	ALDH7A1
AL8A1_HUMAN	ALDH8A1
AL9A1_HUMAN	ALDH9A1
ALAT1_HUMAN	GPT
ALAT2_HUMAN	GPT2
ALBU_HUMAN	ALB
ALDH2_HUMAN	ALDH2
ALDOA_HUMAN	ALDOA
ALDOB_HUMAN	ALDOB
ALDOC_HUMAN	ALDOC
ALDR_HUMAN	AKR1B1
ALEX_HUMAN	GNAS
ALG11_HUMAN	ALG11
ALG12_HUMAN	ALG12
ALG13_HUMAN	ALG13
ALG14_HUMAN	ALG14
ALG1L_HUMAN	ALG1L
ALG1_HUMAN	ALG1
ALG2_HUMAN	ALG2
ALG3_HUMAN	ALG3
ALG5_HUMAN	ALG5
ALG6_HUMAN	ALG6
ALG8_HUMAN	ALG8
ALG9_HUMAN	ALG9
ALKB1_HUMAN	ALKBH1
ALKB2_HUMAN	ALKBH2
ALKB3_HUMAN	ALKBH3
ALKB4_HUMAN	ALKBH4
ALKB5_HUMAN	ALKBH5
ALKB6_HUMAN	ALKBH6
ALKB7_HUMAN	ALKBH7
ALKB8_HUMAN	ALKBH8
ALKMO_HUMAN	AGMO
ALK_HUMAN	ALK
ALLC_HUMAN	ALLC
ALM1L_HUMAN	ALMS1P
ALMS1_HUMAN	ALMS1
ALPK1_HUMAN	ALPK1
ALPK2_HUMAN	ALPK2
ALPK3_HUMAN	ALPK3
ALR_HUMAN	GFER
ALS2_HUMAN	ALS2
ALS_HUMAN	IGFALS
ALX1_HUMAN	ALX1
ALX3_HUMAN	ALX3
ALX4_HUMAN	ALX4
AMACR_HUMAN	AMACR
AMBN_HUMAN	AMBN
AMBP_HUMAN	AMBP
AMD_HUMAN	PAM
AMELX_HUMAN	AMELX
AMELY_HUMAN	AMELY
AMER1_HUMAN	AMER1
AMER2_HUMAN	AMER2
AMER3_HUMAN	AMER3
AMERL_HUMAN	AMMECR1L
AMFR_HUMAN	AMFR
AMGO1_HUMAN	AMIGO1
AMGO2_HUMAN	AMIGO2
AMGO3_HUMAN	AMIGO3
AMHR2_HUMAN	AMHR2
AMMR1_HUMAN	AMMECR1
AMN1_HUMAN	AMN1
AMNLS_HUMAN	AMN
AMOL1_HUMAN	AMOTL1
AMOL2_HUMAN	AMOTL2
AMOT_HUMAN	AMOT
AMPB_HUMAN	RNPEP
AMPD1_HUMAN	AMPD1
AMPD2_HUMAN	AMPD2
AMPD3_HUMAN	AMPD3
AMPE_HUMAN	ENPEP
AMPH_HUMAN	AMPH
AMPL_HUMAN	LAP3
AMPN_HUMAN	ANPEP
AMPO_HUMAN	AOPEP
AMPQ_HUMAN	LVRN
AMRA1_HUMAN	AMBRA1
AMRP_HUMAN	LRPAP1
AMTN_HUMAN	AMTN
AMY1_HUMAN	AMY1A
AMY1_HUMAN	AMY1B
AMY1_HUMAN	AMY1C
AMY2B_HUMAN	AMY2B
AMYP_HUMAN	AMY2A
AMZ1_HUMAN	AMZ1
AMZ2_HUMAN	AMZ2
AN13A_HUMAN	ANKRD13A
AN13B_HUMAN	ANKRD13B
AN13C_HUMAN	ANKRD13C
AN13D_HUMAN	ANKRD13D
AN18A_HUMAN	ANKRD18A
AN18B_HUMAN	ANKRD18B
AN20B_HUMAN	ANKRD20A8P
